,Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,year
137,Oppo F5,Oppo,F5,3200,6,Yes,1080,2160,8,4000,32,16,20,Android,Yes,Yes,Yes,2,Yes,Yes,10499,310.00 ,
138,OnePlus 5T,OnePlus,5T,3300,6.01,Yes,1080,2160,8,6000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,28499,500.00 ,
139,Honor 9i,Honor,9i,3340,5.9,Yes,1080,2160,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,8999,275.00 ,
140,Xiaomi Mi MIX 2,Xiaomi,Mi MIX 2,3400,5.99,Yes,1080,2160,8,6000,64,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,29999,500.00 ,
141,Lenovo K8 Plus,Lenovo,K8 Plus,4000,5.2,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6990,155.00 ,
142,Mi A1,Xiaomi,Mi A1,3080,5.5,Yes,1080,1920,8,4000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999,230.00 ,
143,Sony Xperia XZ1,Sony,Xperia XZ1,2700,5.2,Yes,1080,1920,8,4000,32,19,13,Android,Yes,Yes,Yes,2,Yes,Yes,34990,700.00 ,
144,LG V30+,LG,V30+,3300,6,Yes,1440,2880,8,4000,128,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,27999,850.00 ,
145,Lenovo K8 Note,Lenovo,K8 Note,4000,5.5,Yes,1080,1920,10,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,7299,200.00 ,
146,Moto G5S,Motorola,Moto G5S,3000,5.2,Yes,1080,1920,8,3000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999,220.00 ,
147,Google Pixel 2 XL,Google,Pixel 2 XL,3520,6,Yes,1440,2880,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,12994,849.00 ,
148,Google Pixel 2,Google,Pixel 2,2700,5,Yes,1080,1920,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,9994,649.00 ,
