Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
Panasonic Eluga Turbo,Panasonic,Eluga Turbo,2350,5,Yes,720,1280,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,13988,$180 ,16-Jan,231.84,5.446047479
Lava P7,Lava,P7,2000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,No,2,Yes,No,3449,$80 ,16-Jan,103.04,4.635117262
Intex Aqua Air II,Intex,Aqua Air II,2300,5,Yes,480,854,2,1000,8,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,4690,$75 ,16-Jan,96.6,4.570578741
Lava Iris Atom,Lava,Iris Atom,1550,4,Yes,480,800,4,1000,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,5199,$60 ,16-Jan,77.28,4.34743519
Intex Cloud 4G Smart,Intex,Cloud 4G Smart,2000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,4777,$80 ,16-Jan,103.04,4.635117262
Intex Cloud 3G Gem,Intex,Cloud 3G Gem,1400,4,Yes,480,800,1,512,4,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,2399,$60 ,16-Jan,77.28,4.34743519
Intex Cloud 3G Candy,Intex,Cloud 3G Candy,1400,4,Yes,480,800,1,256,0.512,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,1999,$55 ,16-Jan,70.84,4.260423813
Lenovo A7000 Turbo,Lenovo,A7000 Turbo,2900,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,14000,$150 ,16-Jan,193.2,5.263725922
Karbonn K9 Smart,Karbonn,K9 Smart,2300,5,Yes,480,854,4,512,8,3.2,1.3,Android,Yes,Yes,Yes,2,Yes,No,4690,$60 ,16-Jan,77.28,4.34743519
Alcatel Pixi 4 (6),Alcatel,Pixi 4 (6),2580,6,Yes,720,1280,4,1000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,3998,$150 ,16-Jan,193.2,5.263725922
LG K7,LG,K7,2125,5,Yes,480,854,4,1000,8,5,5,Android,Yes,Yes,Yes,1,Yes,No,994,$150 ,16-Jan,193.2,5.263725922
LG K10,LG,K10,2300,5.3,Yes,720,1280,4,1000,8,13,5,Android,Yes,Yes,Yes,1,Yes,No,3994,$200 ,16-Jan,257.6,5.551407994
Intex Cloud Champ,Intex,Cloud Champ,1700,4.5,Yes,480,854,2,512,4,5,2,Android,Yes,Yes,Yes,2,Yes,No,3800,$50 ,16-Jan,64.4,4.165113633
Lava Iris Atom 3,Lava,Iris Atom 3,2000,5,Yes,480,854,4,512,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,2899,$70 ,16-Jan,90.16,4.50158587
Intex Aqua Q7 Pro,Intex,Aqua Q7 Pro,2000,4.5,Yes,480,854,4,1000,8,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,4290,$70 ,16-Jan,90.16,4.50158587
Karbonn Titanium Moghul,Karbonn,Titanium Moghul,2000,5,Yes,540,960,4,1000,8,8,3.2,Android,Yes,Yes,Yes,2,Yes,No,8700,$80 ,16-Jan,103.04,4.635117262
