asin,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
B0D3F7T32Z,,,,,,,,,,,,,,,,,,,,,,,187.22,238.55,299.12,234.45,249.5
B0D54S3L3M,,,,,,,,,,,,,,,,,,,,,,,609.99,646.99,632.75,612.44,550.57
B0D5DDTWZ3,,,,,,,,,,,,,,,,,,,,,,,,,,,665.86
B0D5DGB6N3,,,,,,,,,,,,,,,,,,,,,,,,,,745,756.33
B0DDL4FGV6,,,,,,,,,,,,,,,,,,,,,,,,427,332.75,296.21,
B0DF8331S3,,,,,,,,,,,,,,,,,,,,,,,,,,457,449.5
B0DFRV7D6Y,,,,,,,,,,,,,,,,,,,,,,,,,829.67,701.81,803.28
B0DHJ2KF9X,,,,,,,,,,,,,,,,,,,,,,,,,866.14,784.59,761.01
B0DHJ2MKQM,,,,,,,,,,,,,,,,,,,,,,,,,1262.16,1203.03,1112.4
B0DHJ2PVBJ,,,,,,,,,,,,,,,,,,,,,,,,,1149.95,998.48,933.96
B0DHJ2VZTJ,,,,,,,,,,,,,,,,,,,,,,,,,950.76,844.23,784.77
B0DHJ896RY,,,,,,,,,,,,,,,,,,,,,,,,,1246.03,1091.79,1027.6
B0DHJCTZ4D,,,,,,,,,,,,,,,,,,,,,,,,,871.52,765.93,724.91
B0DHJDPYYR,,,,,,,,,,,,,,,,,,,,,,,,,1177.65,975.76,906.96
B0DHJG6JPH,,,,,,,,,,,,,,,,,,,,,,,,,1002.31,850.35,814.35
B0DHJGKNT1,,,,,,,,,,,,,,,,,,,,,,,,,755.5,689.79,674.49
B0DHJGLSFT,,,,,,,,,,,,,,,,,,,,,,,,,1058.08,931.9,890.84
B0DMP26WK7,,,,,,,,,,,,,,,,,,,,,,,,,,1415,1454.71
B0DPDJ2DK8,,,,,,,,,,,,,,,,,,,,,,,,,1402.47,1360.86,1319.34
B0DVCJX284,,,,,,,,,,,,,,,,,,,,,,,,,,545,483.92
B0DVCKXSNK,,,,,,,,,,,,,,,,,,,,,,,,,,759,742.6
B0DVCNM737,,,,,,,,,,,,,,,,,,,,,,,,,,949,942.14
B0DYF5HMYX,,,,,,,,,,,,,,,,,,,,,,,,,,349,354.33
